Timestamp,Department,Goal
11/9/2021 10:00:18,Distance Graduate TELS,Deeper understanding of Quantitative and Qualitative Research Methods
11/9/2021 10:00:46,Distance Graduate TELS,Choose a dissertation topic that makes me curious and fills a void
11/9/2021 10:01:05,Distance Graduate TELS,4.0 Baby
11/9/2021 10:01:16,Distance Graduate TELS,To Graduate
11/9/2021 10:01:28,Distance Graduate TELS,Finish my Book
11/9/2021 10:02:00,Graduate TELS,Learn about 3 topics and become more confident in counseling sessions
11/9/2021 10:02:25,Graduate TELS,"Reamin mentally, physically, and emotionally healthy"
11/9/2021 10:03:02,Graduate TELS,"Balance of learning, being, knowing and doing"
11/9/2021 10:03:22,Graduate TELS,To stay healthy and learn from my peers
11/9/2021 10:03:39,Graduate TELS,Better time management and organization
11/9/2021 10:03:53,Graduate TELS,To make selfcare a priority
11/9/2021 10:04:08,Graduate TELS,poder respirar
11/9/2021 10:04:25,Graduate TELS,"Good grades, good games and a great community"
11/9/2021 10:04:50,Graduate TELS,To successfully survive my first year of my phd program
11/9/2021 10:05:19,Graduate TELS,To foster a growth mindset that allows me to learn and grow as a human and educator
11/9/2021 10:05:36,Graduate TELS,"Survive, finish comps"
11/9/2021 10:05:46,Graduate TELS,Graduate and find a job
11/9/2021 10:06:08,Graduate TELS,Do one act of self care a week
11/9/2021 10:06:25,Graduate TELS,to expand my Fun part-time business
11/9/2021 10:07:08,Graduate TELS,My goal for 2021- 2022 I want to adapt better time management for the betterment of my mental and physical well being
11/9/2021 10:07:19,Graduate TELS,Pass my NCE
11/9/2021 10:07:57,Graduate TELS,Being able to critically synthesize my course readings and finding my voice while doing so
11/9/2021 10:08:13,Graduate TELS,Getting started on my dissertation
11/9/2021 10:08:29,Graduate TELS,Grow with the new knowledge
11/9/2021 10:08:43,Graduate TELS,write 5 times  per week
11/9/2021 10:08:58,Graduate TELS,"survival, work-balance"
11/9/2021 10:09:20,Graduate TELS,Improve my skills as an academic writer
11/9/2021 10:09:47,Graduate TELS,My goal is to join my kids PTA and become more involved with my community
11/9/2021 10:10:15,Graduate TELS,To catch up on all my readings and inbox zero
11/9/2021 10:10:58,Graduate TELS,My goal is to discover my voice as a researcher and use it to create change in P-12 schools.
11/9/2021 10:11:21,Graduate TELS,My goal is to engage in self-care daily and to be nicer to myself
11/9/2021 10:11:50,Graduate TELS,"Make it through the semester in one piece and balance life, work, and school."
11/9/2021 10:13:28,ELPHD,remain happy and positive 
11/9/2021 10:13:40,ELPHD,complete my dissertation
11/9/2021 10:13:50,ELPHD,Be STIll
11/9/2021 10:14:06,ELPHD,Making it through the year with a smile
11/9/2021 10:14:49,ELPHD,I'm hoping to learnhow to incorporate culture responsive teaching in my future classroom
11/9/2021 10:15:28,ELPHD,Be the truest me I can be. Wlak into my calling. Be Strong and find my purpose. Be Great.
11/9/2021 10:15:50,ELPHD,Keep on learning
11/9/2021 10:16:02,ELPHD,Pass my Prospectus
11/9/2021 10:16:23,ELPHD,To successfully pass all my courses with a B or higher
11/9/2021 10:16:41,ELPHD,Finish my J.S. research
11/9/2021 10:17:09,ELPHD,"Be spiritally, emotionally, mentally and physically well the entire year."
11/9/2021 10:17:29,Distance ELPHD,Dr. Mercedes Kamoru 2023
11/9/2021 10:17:55,STAFF,Publish articles
11/9/2021 10:18:12,STAFF,Provide METRC level support
11/9/2021 10:18:45,STAFF,zero out my inbox and not zero out my bank account
11/9/2021 10:18:56,STAFF,Speak fluently when I speak
11/9/2021 10:19:25,STAFF,My goal is to help guide mt EdD students to develop their final projects
11/9/2021 10:19:37,STAFF,Learn 3 new things
11/9/2021 10:20:01,STAFF,To successfully educate students so they succeed!
11/9/2021 10:20:31,Graduate STEM,My goal is to be a good teacher
11/9/2021 10:21:11,Graduate STEM,Complete my degree and contribute to the profession  by preparing excellent educators.
11/9/2021 10:21:28,Graduate STEM,My goal is to inspire my students to enjoy science
11/9/2021 10:21:46,Graduate STEM,My goal is to pass and do well on the EdTPA.
11/9/2021 10:22:19,STAFF,recruit great future educators
11/9/2021 10:22:37,STAFF,Be strategic and proactive
11/9/2021 10:23:30,STAFF,Have positive transitivity
11/9/2021 10:23:45,STAFF,RPT/Promotion
11/9/2021 10:24:19,STAFF,To learn from my students every single day and to use that new understanding to advocate for students.
