"from","to","weight"
1,83,1688
2,4,309
3,9,232
3,10,187
4,7,182
5,2,170
6,13,159
7,5,142
8,11,133
9,10,115
4,5,114
10,3,111
11,10,110
12,89,107
13,14,102
14,90,99
15,2,81
16,72,79
17,91,78
2,92,75
18,93,74
19,1,74
5,7,70
20,26,70
21,20,70
22,25,69
23,21,69
24,94,68
25,33,66
26,27,65
27,29,65
28,32,64
29,30,64
30,31,63
31,28,63
10,95,62
2,71,60
32,66,60
16,51,59
2,16,58
33,28,54
34,16,54
35,37,53
36,39,53
37,36,53
38,70,53
39,41,53
40,2,53
28,7,53
41,43,53
42,40,53
43,42,53
44,48,52
16,50,51
45,46,51
46,49,51
47,44,51
48,45,51
49,16,51
50,38,51
51,47,50
52,96,50
2,75,49
53,97,49
6,98,49
54,99,49
55,2,48
56,55,48
9,59,47
57,100,46
58,3,45
22,4,45
14,95,45
11,9,45
59,53,45
60,10,45
61,101,45
62,63,44
63,2,44
64,102,44
65,79,44
66,67,44
67,68,44
68,69,44
69,65,44
70,35,43
53,103,43
71,2,43
72,78,41
9,104,41
73,11,41
7,2,40
7,77,40
9,3,40
53,94,40
74,60,40
75,105,40
76,17,39
77,106,39
15,71,38
78,107,38
79,82,38
80,57,38
81,108,38
82,80,38
83,109,38
16,78,37
10,86,37
84,110,37
85,111,37
86,112,36
16,2,36
87,9,36
10,53,36
88,2,36
